name,primary_url,scanner,desc,package_id,application_id,last_updated,has_downloads,confidence,usefulness,status,evidence_strength,release_url,release_tag,artifact_quality,fork_parent,fork_ahead_by,fork_behind_by,fork_meaningfully_ahead,apk_assets,aab_assets,universal_apk_assets,split_apk_assets,checksum_assets,evidence
52155 yume no shizuku to hoshi no hana,https://gitlab.com/data_app/app-truyen/data_truyenchu_vn_by_id/52155,gitlab,stars: 0,,,2024-02-08T20:45:37.819000+00:00,False,medium,medium,new,weak,,,unknown,,0,0,False,,,,,,data_app/app-truyen/data_truyenchu_vn_by_id/52155
9Player,https://github.com/techza14/9Player,github_code,,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""ShizukuProvider"" language:Kotlin :: app/src/main/java/moe/tekuza/m9player/ShizukuBluetoothController.kt"
A1.3.-Laboratorio-Auditor-a-M-vil,https://github.com/DylanTapiaVargas999/A1.3.-Laboratorio-Auditor-a-M-vil,github_code,,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""ShizukuProvider"" language:Java :: app/media/apk/ZArchiver_1.0.10_APKPure/sources/ru/zdevs/zarchiver/ZApp.java"
adb-shell-sh-storage-emulated-0-Android-data-moe.shizuku.privileged.api-start.sh,https://github.com/m83228181-hub/adb-shell-sh-storage-emulated-0-Android-data-moe.shizuku.privileged.api-start.sh,github_meta,adb shell sh /storage/emulated/0/Android/data/moe.shizuku.privileged.api/start.sh,,,2026-04-01T13:01:08+00:00,False,medium,medium,new,medium,,,unknown,,0,0,False,,,,,,"""moe.shizuku"" in:readme :: m83228181-hub/adb-shell-sh-storage-emulated-0-Android-data-moe.shizuku.privileged.api-start.sh"
adb-shell-sh-storage-emulated-0-Android-data-moe.shizuku.privileged.api-start.sh,https://github.com/ximex2726-beep/adb-shell-sh-storage-emulated-0-Android-data-moe.shizuku.privileged.api-start.sh,github_meta,adb shell sh /storage/emulated/0/Android/data/moe.shizuku.privileged.api/start.sh,,,2026-04-01T13:01:10+00:00,False,medium,medium,new,medium,,,unknown,,0,0,False,,,,,,"""moe.shizuku"" in:readme :: ximex2726-beep/adb-shell-sh-storage-emulated-0-Android-data-moe.shizuku.privileged.api-start.sh"
ADBMultiApp,https://github.com/Mobsama/ADBMultiApp,github_code,Realme基于shizuku双开工具,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""rikka.shizuku"" language:Kotlin :: app/src/main/java/com/mob/adbmultiapp/main/MainViewModel.kt"
AIDE-Plus,https://github.com/2659170494/AIDE-Plus,github_code,AIDE+,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""ShizukuBinderWrapper"" language:Java :: app_rewrite/src/main/java/io/github/zeroaicy/aide/shizuku/ShizukuUtil.java"
AIDE-Plus-AS,https://github.com/Familyye/AIDE-Plus-AS,github_code,,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""ShizukuProvider"" language:Java :: app_rewrite/src/main/java/io/github/zeroaicy/aide/shizuku/ZeroAicyShizukuProvider.java"
AIDE-Plus-Private,https://github.com/Familyye/AIDE-Plus-Private,github_code,AIDE+个人备份仓库,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""ShizukuProvider"" language:Java :: app_rewrite/src/main/java/io/github/zeroaicy/aide/shizuku/ZeroAicyShizukuProvider.java"
Ajiro,https://github.com/CrackTC/Ajiro,github_code,麻城建设,,,,False,high,low,new,strong,,,unknown,,0,0,False,,,,,,"""rikka.shizuku"" language:Kotlin :: app/src/main/java/zip/sora/ajiro/utils/Shizuku.kt"
Always On Display Toggle,https://github.com/Alberto97/AlwaysOnDisplayToggle,fdroid,This app adds a tile to the quick settings panel that turns Always on Display on or off. The app needs to write to the system settings. Therefore the related permission has to be granted via Shizuku or from your computer with adb in order for the app to work properly: adb shell pm grant org.alberto97.aodtoggle android.permission.WRITE_SECURE_SETTINGS Please note that this app has only been tested on Google Pixel. Different manufacturers may have implemented AoD their own way and therefore the app might not work.,org.alberto97.aodtoggle,,2022-03-25T00:00:00+00:00,True,high,medium,new,weak,https://github.com/Alberto97/AlwaysOnDisplayToggle,,unknown,,0,0,False,,,,,,"Always On Display Toggle Toggle Always on Display from the quick settings panel This app adds a tile to the quick settings panel that turns Always on Display on or off.
The app needs to write to the system settings. Therefore the related permission has to be granted via Shizuku or from your computer"
